food_id,alimento,agua,alcohol,calcio,carbohidratos,colesterol,equivalentes_de_niacina_totales,fibra_dietetica_total,folato_total,fósforo,grasa_total,hierro_total,ioduro,magnesio,potasio,proteina_total,riboflavina,selenio_total,sodio,tiamina,viamina_e_equivalentes_de_alfa_tocoferol_de_actividades_de_vitámeros_e,vitamina_a_equivalentes_de_retinol_de_actividades_de_retinos_y_carotenoides,vitamina_b12,vitamina_b6_total,vitamina_c,vitamina_d,zinc,ácido_graso_120,ácido_graso_140,ácido_graso_160,ácido_graso_180,ácido_graso_181_n9_cis,ácido_graso_182,ácido_graso_183,ácido_graso_204_n6,ácido_graso_205,ácido_graso_226_n3,ácidos_grasos_monoinsaturados_totales,ácidos_grasos_poliinsaturados_totales,ácidos_grasos_saturados_totales,energia_kj,energia_kcal
680,"Bacón, ahumado, a la parrilla",50.5,0.0,7.0,0.0,80.0,7.0,0.0,2.0,190.0,22.1,0.7,7.0,21.0,330.0,23.4,0.16,12.0,1760.0,0.9,0.07,0.0,1.0,0.46,0.0,0.6,2.2,,,,,,,,,,,9.3,2.9,8.3,1216.0,292.0
681,"Café, con leche",94.0,0.0,55.0,2.45,8.0,0.7,0.0,1.66,42.0,2.3654,0.05,17.4,8.0,90.0,1.7,0.08,2.8,23.0,0.02,0.04,15.8333,0.1,0.01,0.5,0.01,0.18,,,,,,,,,,,0.6235,0.0656,1.2032,158.0,38.0
682,"Bacon, crudo, con grasa separable",33.7,0.0,13.0,0.09,100.0,1.8,0.0,2.0,108.0,57.5,1.2,1.2,12.0,160.0,8.7,0.11,25.0,680.0,0.36,0.23,0.01,0.8,0.3,0.0,0.01,1.8,,,,,,,,,,,26.33,6.75,21.26,2277.0,546.0
683,"Batido lácteo de cacao, bajo en calorías",90.4,0.0,110.0,4.6,0.0,1.3,0.0,21.1,95.0,1.9,1.1,10.6,24.6,180.7,3.1,0.18,3.7,88.3,0.1,0.7,70.3,0.36,0.15,4.2,0.3,0.9,,,,,,,,,,,0.0,0.1,0.3,201.0,48.0
685,"Batido lácteo, de fresa, bajo en calorías",72.9,0.0,111.6,22.9,3.4,1.3,1.6,21.1,52.8,0.34,1.1,10.6,24.6,180.7,3.8,0.13,3.7,88.3,0.1,0.7,70.3,0.2,0.15,4.2,0.3,0.9,,,,,,,,,,,0.0,0.1,0.3,466.0,112.0
686,"Cabrito, parte s/e, crudo, con grasa separable",76.7,0.0,9.0,0.0,56.0,6.0,0.0,5.0,220.0,4.0,0.9,5.0,22.0,385.0,19.3,0.1,1.0,82.0,0.32,0.09,0.0,2.0,0.3,0.0,0.4,2.0,,,,,,,,,,,2.2,0.3,1.5,476.0,114.0
687,Callos de ternera,80.0,0.0,9.0,0.0,95.0,0.06,0.0,2.0,79.0,3.95,1.95,,8.0,270.0,14.56,0.17,45.6,46.0,0.01,0.08,0.0,1.54,0.04,0.0,0.0,2.47,0.007,0.121,0.861,0.839,0.919,0.06,0.018,0.023,0.006,0.001,1.31,0.07,2.03,396.0,95.0
688,"Cerdo, lomo, asado",56.1,0.0,12.0,0.0,75.0,4.2,0.0,4.0,170.0,14.2707,1.1,3.0,20.0,290.0,27.0,0.3,20.0,60.0,0.52,0.1,0.0,0.8,0.36,0.0,0.0,2.4,,,,,,,,,,,6.5,1.6,5.5,987.0,237.0
689,"Cerdo, pierna, cruda, con grasa separable",65.8,0.0,8.0,0.0,63.0,8.7,0.0,5.0,230.0,15.2,1.5,5.0,22.0,370.0,19.0,0.2,12.0,80.0,0.89,0.0,0.1,1.0,0.45,0.0,0.01,2.5,,,,,,,,,,,6.4,2.5,5.1,885.0,212.0
691,Queso afuega'l pitu,27.8,0.0,131.17,0.0,100.0,3.05,0.0,16.0,300.19,40.56,0.15,,12.28,141.02,26.78,0.3,,588.25,0.04,0.6,239.08,1.55,0.09,0.0,0.25,0.49,,,,,,,,,,,,,,1956.0,469.0
692,Queso ahumado de aliva,35.04,0.0,782.02,0.0,100.0,3.05,0.0,16.0,510.19,34.13,0.33,,32.93,121.9,25.67,0.3,,300.24,0.04,0.6,239.08,1.55,0.09,0.0,0.25,3.05,,,,,,,,,,,,,,1699.0,408.0
693,Queso cantabria,42.84,0.0,780.36,0.0,100.0,3.05,0.0,16.0,492.97,30.19,0.34,,28.92,97.8,21.53,0.3,,555.13,0.04,0.6,239.08,1.55,0.09,0.0,0.25,3.06,,,,,,,,,,,,,,1483.0,356.0
